stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
49,0.5,1.5,97.59165316600411,,97.58684175000235,97.59165316600411,98.08409983300953,98.08409983300953,98.08899329100677,98.37162062501011,99.21867816599843,right,1.5,1,1,1.1286262499925215,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
50,0.5,1.0,99.22189966600854,,99.21888629101159,99.22189966600854,99.71734629099956,99.71734629099956,99.71734629099956,100.00451658300881,100.51981933299976,left,-1.0,1,1,0.7895996250008466,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
51,0.5,1.0,100.5248341250117,,100.52023729099892,100.5248341250117,101.01737383300497,101.01737383300497,101.02219191601034,101.30445408300147,102.50655462501163,left,-1.0,1,1,1.4865397090034094,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
52,0.5,1.0,102.51736850000452,,102.506882665999,102.51736850000452,103.0068570410076,103.0068570410076,103.0068570410076,103.30415470800654,105.34005583300313,right,1.0,0,0,2.3300639580120333,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
53,0.5,1.5,105.3506657500111,,105.34042291600781,105.3506657500111,105.83942454100179,105.83942454100179,105.83942454100179,106.13394020800479,108.08986012500827,right,1.5,1,1,2.2476617909997003,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
54,0.5,1.5,108.10068920800404,,108.09020033301204,108.10068920800404,108.58906187499815,108.58906187499815,108.58906187499815,108.88397145800991,110.42121779100853,right,1.5,1,1,1.8158210839901585,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
55,0.5,1.5,110.42622125000344,,110.42164862500795,110.42622125000344,110.91734537501179,110.91734537501179,110.92256929101131,111.2047856660065,111.59019395800715,right,1.5,1,1,0.6698907090030843,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
56,0.5,1.0,111.60068154100736,,111.59053783300624,111.60068154100736,112.08914583300066,112.08914583300066,112.08914583300066,112.38799637500779,112.70614187500905,left,-1.0,1,1,0.6138432079897029,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
57,0.5,1.0,112.71731029100192,,112.70646929100621,112.71731029100192,113.20570920800674,113.20570920800674,113.20570920800674,113.50078470801236,113.78685837500961,right,1.0,1,1,0.5714622919913381,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
58,0.5,1.0,113.79178729100386,,113.7871924580104,113.79178729100386,114.28402533300687,114.28402533300687,114.28948520800623,114.57191929100372,114.86985475000984,right,1.0,1,1,0.5793950419902103,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
59,0.5,1.0,114.87513791600941,,114.87017408300017,114.87513791600941,115.36747170799936,115.36747170799936,115.37349387499853,115.65449420800724,116.28641000000061,right,1.0,1,1,0.9122784999926807,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
60,0.5,1.0,116.2917214580084,,116.28672962500423,116.2917214580084,116.783964458009,116.783964458009,116.78925716600497,117.07097366600647,117.33626204100437,left,-1.0,1,1,0.5397633749962552,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
61,0.5,1.0,117.3412035000074,,117.3365987080033,117.3412035000074,117.8339321250096,117.8339321250096,117.83913316600956,118.12119604100008,118.34034141599841,right,1.0,1,1,0.5025780419964576,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
62,0.5,1.0,118.35068829100055,,118.34073604100558,118.35068829100055,118.83924512501108,118.83924512501108,118.83924512501108,119.1339377080003,119.45356712500507,right,1.0,1,1,0.6070824589987751,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
63,0.5,1.0,119.45903429100872,,119.4541481250053,119.45903429100872,119.95063362500514,119.95063362500514,119.95589266601019,120.23802820801211,120.40298908299883,right,1.0,1,1,0.43959912499121856,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
64,0.5,1.0,120.4079827079986,,120.40329800000472,120.4079827079986,120.9006519579998,120.9006519579998,120.90657520800596,121.18820954101102,121.8874668750068,left,-1.0,1,1,0.9740614579932299,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
65,0.5,1.0,121.89302741600841,,121.8878754160105,121.89302741600841,122.38390800000343,122.38390800000343,122.38935045800463,122.67104816601204,122.93646125000669,left,-1.0,1,1,0.5386780830012867,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
66,0.5,1.0,122.94134995801141,,122.93676354100171,122.94134995801141,123.43383229100436,123.43383229100436,123.43910304100427,123.72161175000656,124.02030441600073,right,1.0,1,1,0.5761240829888266,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
67,0.5,1.0,124.02584183300496,,124.02086158300517,124.02584183300496,124.51722166599939,124.51722166599939,124.52294583299954,124.8045795000071,124.93948166600603,right,1.0,1,1,0.4190924580034334,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
68,0.5,1.0,124.95071675001236,,124.93981087500288,124.95071675001236,125.4390958330041,125.4390958330041,125.4390958330041,125.73394237500906,126.24026450001111,left,-1.0,1,1,0.797230333002517,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
69,0.5,1.0,126.25069762500061,,126.24068879100378,126.25069762500061,126.73890150000807,126.73890150000807,126.73890150000807,127.03403816600621,127.30280729100923,right,1.0,1,1,0.5594145420036511,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
70,0.5,1.0,127.30770879100601,,127.30311495800561,127.30770879100601,127.8006020830071,127.8006020830071,127.80614366600639,128.08837933299947,128.48661008301133,left,-1.0,1,1,0.6818920840014471,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
71,0.5,1.0,128.49210445801145,,128.48708479100605,128.49210445801145,128.98388029100897,128.98388029100897,128.9894042500091,129.27147541601153,129.40708954101137,right,1.0,1,1,0.4198638329980895,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
72,0.5,1.0,129.41720041600638,,129.40744037499826,129.41720041600638,129.9062275000033,129.9062275000033,129.9062275000033,130.20423741600825,130.7029897080065,right,1.0,0,0,0.7852776249928866,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
73,0.5,1.5,130.7080393750075,,130.70332012500148,130.7080393750075,131.20051695800794,131.20051695800794,131.20512416600832,131.4881560000067,132.3900050830125,right,1.5,1,1,1.1870167080051033,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
74,0.5,1.5,132.4006171660003,,132.3903736659995,132.4006171660003,132.8894970830006,132.8894970830006,132.8894970830006,133.18795258300088,133.46945791599865,right,1.5,1,1,0.5768152499949792,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
75,0.5,1.5,133.47487629100215,,133.46990679101145,133.47487629100215,133.96714170800988,133.96714170800988,133.97241029101133,134.25404979100858,134.53617970801133,left,-1.5,1,1,0.5584547909966204,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
76,0.5,1.0,134.54121045800275,,134.53650483299862,134.54121045800275,135.0339619580045,135.0339619580045,135.0394371660077,135.3208241250104,135.68622387500363,left,-1.0,1,1,0.6390454169886652,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
77,0.5,1.0,135.6912541250058,,135.6865470410121,135.6912541250058,136.18379475000256,136.18379475000256,136.18916691601044,136.47203550000268,136.81972337501065,right,1.0,1,1,0.6231447500031209,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
78,0.5,1.0,136.82518754100602,,136.82025712500035,136.82518754100602,137.31721662500058,137.31721662500058,137.32293620800192,137.60500362500898,137.71947091601032,right,1.0,1,1,0.39880620800249744,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
79,0.5,1.0,137.7244654160022,,137.71977137500653,137.7244654160022,138.2171685830108,138.2171685830108,138.22248437500093,138.50431283299986,138.67324920800456,right,1.0,1,1,0.4535818750009639,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
80,0.5,1.0,138.68387079100648,,138.6735968330031,138.68387079100648,139.1716602910019,139.1716602910019,139.1716602910019,139.46717987500597,139.81931183300912,left,-1.0,1,1,0.6336073330021463,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
81,0.5,1.0,139.82432858301036,,139.81978079100372,139.82432858301036,140.3171026659984,140.3171026659984,140.32207824999932,140.60414941600175,140.89013812500343,right,1.0,1,1,0.5701047090115026,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
82,0.5,1.0,140.90052962501068,,140.8904731250077,140.90052962501068,141.38826283300295,141.38826283300295,141.38826283300295,141.68376612500288,141.97297262500797,right,1.0,1,1,0.5816794169950299,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
83,0.5,1.0,141.98387266600912,,141.97329812501266,141.98387266600912,142.47213916599867,142.47213916599867,142.47213916599867,142.77141237500473,143.06964304100256,left,-1.0,1,1,0.5930782500072382,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
84,0.5,1.0,143.07456916601222,,143.06994400000258,143.07456916601222,143.56723825000518,143.56723825000518,143.57226079099928,143.85407091600064,144.08652133301075,left,-1.0,1,1,0.5145374580024509,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
85,0.5,1.0,144.0912565410108,,144.08683937499882,144.0912565410108,144.58376945801137,144.58376945801137,144.58879420800076,144.870822375,145.22035783300817,right,1.0,1,1,0.6257209589966806,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
86,0.5,1.0,145.22539483300352,,145.2208365000115,145.22539483300352,145.71714845800307,145.71714845800307,145.72188429100788,146.00373375001072,146.23979900000268,right,1.0,1,1,0.5199211670114892,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
87,0.5,1.0,146.2503746660077,,146.24012041601236,146.2503746660077,146.73904170800233,146.73904170800233,146.73904170800233,147.0376610000094,147.690035874999,left,-1.0,1,1,0.9478502080019098,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
88,0.5,1.0,147.70053629099857,,147.6903604160034,147.70053629099857,148.18915425000887,148.18915425000887,148.18915425000887,148.48794379099854,148.6225938330026,left,-1.0,1,1,0.4303798330074642,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
89,0.5,1.0,148.63380350000807,,148.62291566601198,148.63380350000807,149.1226085829985,149.1226085829985,149.1226085829985,149.4170427909994,149.72321066600853,right,1.0,1,1,0.5971119169989834,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
90,0.5,1.0,149.73379716600175,,149.7235395410098,149.73379716600175,150.22219174999918,150.22219174999918,150.22219174999918,150.5172365000035,150.76939854100056,right,1.0,1,1,0.5375171250052517,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
91,0.5,1.0,150.774565041007,,150.76971345800848,150.774565041007,151.26705270800448,151.26705270800448,151.2725005000102,151.55443545800517,151.723668000006,right,1.0,1,1,0.45274000000790693,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
92,0.5,1.0,151.73377737500414,,151.7239989160007,151.73377737500414,152.2221117500012,152.2221117500012,152.2221117500012,152.5170375000016,152.90300850001222,right,1.0,1,1,0.6756655000062892,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
93,0.5,1.0,152.90813633300422,,152.90335154101194,152.90813633300422,153.40035975001229,153.40035975001229,153.4053709580039,153.68769870800315,153.87267562501074,left,-1.0,0,0,0.46895999999833293,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
94,0.5,1.5,153.88372550001077,,153.8730387079995,153.88372550001077,154.37197054100398,154.37197054100398,154.37197054100398,154.67174454100314,154.9696859579999,right,1.5,1,1,0.5877238329994725,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
95,0.5,1.5,154.9745677500032,,154.97005604099832,154.9745677500032,155.46703058300773,155.46703058300773,155.47224425000604,155.75526366601116,156.0693869579991,right,1.5,1,1,0.593412874994101,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
96,0.5,1.5,156.07434300000023,,156.0698663330113,156.07434300000023,156.5670665409998,156.5670665409998,156.57181404100265,156.85455108300084,157.1199975000054,right,1.5,1,1,0.542388874993776,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
97,0.5,1.0,157.1247104159993,,157.12037508300273,157.1247104159993,157.61698575000628,157.61698575000628,157.62224000001152,157.90413162500772,158.05247170801158,right,1.0,1,1,0.4223957500071265,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
98,0.5,1.0,158.05705629099975,,158.0527692080068,158.05705629099975,158.55040141601057,158.55040141601057,158.5556626660109,158.83791837500758,159.06952758300758,right,1.0,1,1,0.5142478329944424,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
99,0.5,1.0,159.0741782910045,,159.06983458300238,159.0741782910045,159.56708625001193,159.56708625001193,159.57214308300172,159.8544785000122,160.25264562500524,left,-1.0,1,1,0.6733830000011949,026390,001,2024-09-12_11h09.34.512,adaptive staircase,2024.2.1,None,2024-09-12 11h09.39.175825 +0530,
